Reappraisal_mean,Suppression_mean,Distraction_mean,Selective_Attention_mean,Situation_Selection_mean,Total_E_ERQ_Score_mean
5.666666666666667,6.0,4.8,5.0,5.333333333333333,5.36
5.333333333333333,6.5,6.6,6.0,5.0,5.886666666666666
5.0,5.5,3.8,5.25,5.666666666666667,5.043333333333334
5.166666666666667,2.75,4.2,5.25,4.333333333333333,4.34
,,,,,
5.0,5.75,5.2,3.75,5.0,4.9399999999999995
4.166666666666667,5.25,3.8,4.5,4.666666666666667,4.4766666666666675
5.833333333333333,2.25,2.6,5.0,5.666666666666667,4.27
3.0,5.5,2.8,3.75,3.0,3.6100000000000003
5.0,5.0,5.0,5.0,5.0,5.0
4.5,6.0,4.8,4.5,5.0,4.96
4.666666666666667,4.5,4.4,4.25,5.0,4.563333333333334
3.8333333333333335,5.0,4.6,3.5,3.6666666666666665,4.12
4.333333333333333,6.75,5.2,5.75,4.666666666666667,5.34
4.0,5.0,5.8,5.25,4.333333333333333,4.876666666666667
5.5,4.75,5.2,5.0,6.333333333333333,5.3566666666666665
3.8333333333333335,4.5,4.6,3.0,4.333333333333333,4.053333333333333
